exp_id,val_acc,test_acc,train_time
1,78.70,70.14,3078.14
2,79.28,71.04,1547.65
3,79.30,71.23,811.68
4,77.07,69.96,455.16
6,91.62,89.54,1727.91
7,93.24,89.86,890.75
5,91.00,89.07,3539.53
8,93.02,89.95,492.69
9,11.48,11.38,789.79
11,78.02,69.09,785.72
12,9.68,10.00,479.72
13,91.33,89.12,478.84
14,90.01,87.98,479.55
15,76.01,70.11,1183.95
16,79.41,71.70,1563.94
20,93.01,90.07,1564.26
19,92.97,89.72,1246.85
18,92.91,90.26,929.97
17,79.71,69.91,2521.60
40,95.73,92.88,4283.84
39,94.63,92.21,3683.32
38,93.62,91.68,2754.02
26,92.30,90.84,2576.00
27,92.88,91.64,1414.38
28,91.76,90.43,796.57
4,77.10,69.96,575.66
65,10.16,10.00,7264.23
66,9.38,10.00,4151.10
67,92.20,92.07,2594.07
68,92.79,92.17,1841.98
73,10.16,10.00,1685.17
74,92.84,92.33,1823.26
72,10.16,10.00,1690.50
1,69.51,69.87,3634.78
2,71.19,71.67,1830.05
3,70.83,71.05,921.81
4,67.84,68.66,467.33
4,67.84,68.66,463.06
10,63.01,62.35,775.50
9,16.22,16.11,776.46
11,70.24,69.51,775.95
12,10.28,10.00,467.14
13,89.41,88.79,467.82
14,88.55,87.98,466.17
15,70.83,71.05,1162.63
16,70.83,71.05,1553.01
17,70.83,71.05,1937.89
18,90.70,90.25,703.08
19,90.70,90.25,930.25
20,90.70,90.25,1165.93
78,92.58,92.27,4508.56
79,92.58,92.27,6010.42
5,90.07,89.90,3736.40
6,90.26,89.96,1871.93
7,90.80,90.27,942.40
8,90.70,90.25,479.69
10,63.01,62.35,773.59
9,16.22,16.11,772.88
11,70.24,69.51,773.87
12,10.28,10.00,465.35
13,89.41,88.79,465.64
14,88.55,87.98,467.00
15,70.83,71.05,1160.21
16,70.83,71.05,1550.17
17,70.83,71.05,1935.55
18,90.70,90.25,698.75
19,90.70,90.25,931.16
20,90.70,90.25,1161.27
80,92.58,92.27,7506.59
1,69.51,69.87,3618.04
2,71.19,71.67,1812.04
3,70.83,71.05,911.63
4,67.84,68.66,462.73
5,90.07,89.90,3737.46
6,90.26,89.96,1868.45
7,90.80,90.27,943.33
8,90.70,90.25,476.38
41,9.83,10.00,10602.94
49,10.20,10.00,3070.31
50,9.75,10.00,3336.38
51,82.22,82.04,3303.85
55,9.91,10.00,4974.70
61,10.25,10.00,6569.74
62,10.25,10.00,3725.89
63,9.95,10.00,2298.53
64,9.75,10.00,1605.48
69,9.75,10.00,1990.69
70,9.75,10.00,2015.23
75,9.95,10.00,3250.83
76,9.95,10.00,4355.94
77,9.91,10.00,5457.06
75,73.46,73.08,3275.37
63,73.46,73.08,2289.21
62,76.32,75.76,3735.60
61,72.76,71.33,6614.16
64,74.93,74.29,1543.44
76,73.46,73.08,4389.03
77,73.46,73.08,5403.62
71,73.46,73.08,2179.31
42,81.05,81.32,7199.21
41,81.57,81.25,10477.02
43,82.43,81.86,5269.96
55,84.21,83.78,8086.33
