,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0.739,0.028,0.03,0.037,0.018,0.018,0.009,0.017,0.058,0.046
automobile,0.014,0.853,0.004,0.008,0.003,0.002,0.008,0.0,0.028,0.08
bird,0.086,0.008,0.488,0.08,0.071,0.116,0.068,0.05,0.016,0.017
cat,0.023,0.015,0.033,0.542,0.05,0.186,0.062,0.046,0.01,0.033
deer,0.034,0.005,0.047,0.082,0.627,0.037,0.047,0.101,0.014,0.006
dog,0.014,0.003,0.021,0.178,0.026,0.664,0.015,0.057,0.01,0.012
frog,0.006,0.008,0.021,0.092,0.025,0.04,0.779,0.008,0.009,0.012
horse,0.014,0.003,0.012,0.041,0.044,0.062,0.006,0.792,0.003,0.023
ship,0.054,0.033,0.005,0.017,0.005,0.008,0.006,0.001,0.843,0.028
truck,0.032,0.071,0.003,0.015,0.002,0.004,0.006,0.009,0.027,0.831
