epoch,train_acc,val_acc,test_acc
1,17.07,18.55,18.62
2,17.44,17.98,17.78
3,17.66,19.05,19.00
4,17.34,17.48,18.03
5,18.32,18.87,18.82
6,18.44,18.32,17.77
7,18.63,17.47,17.43
8,18.89,20.57,21.09
9,19.49,21.62,20.66
10,19.99,20.79,20.22
11,20.48,18.71,18.67
12,20.34,22.25,21.85
13,19.88,20.35,19.87
14,20.43,21.09,20.45
15,20.99,21.99,21.20
16,22.08,23.41,22.66
17,22.45,22.94,22.05
18,22.26,21.88,21.67
19,23.02,25.19,24.74
20,23.43,25.71,25.65
21,23.37,23.14,22.96
22,23.60,25.08,24.54
23,23.94,25.10,24.84
24,23.77,24.36,23.39
25,23.86,24.54,23.76
