epoch,train_loss,val_loss,test_loss
1,,1924926201315130112.00,1915972099895820032.00
2,,1924926184602553600.00,1915972099895820032.00
3,,1924926198236497664.00,1915972099895820032.00
4,,1924926198896204544.00,1915972099895820032.00
5,,1924926194937962752.00,1915972099895820032.00
6,,1924926186801576704.00,1915972099895820032.00
7,,1924926196697181440.00,1915972099895820032.00
8,,1924926189000600064.00,1915972099895820032.00
9,,1924926200655423232.00,1915972099895820032.00
10,,1924926178445288448.00,1915972099895820032.00
