,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,0.8542056074766355,0.0009345794392523365,0.02149532710280374,0.009345794392523364,0.0009345794392523365,0.0,0.10934579439252337,0.0,0.003738317757009346,0.0
Trouser,0.0,0.9959758551307847,0.001006036217303823,0.002012072434607646,0.0,0.0,0.001006036217303823,0.0,0.0,0.0
Pullover,0.012207527975584944,0.0,0.9043743641912513,0.009155645981688708,0.0254323499491353,0.001017293997965412,0.04781281790437437,0.0,0.0,0.0
Dress,0.01310483870967742,0.0030241935483870967,0.009072580645161291,0.9354838709677419,0.010080645161290322,0.0,0.02620967741935484,0.0,0.0030241935483870967,0.0
Coat,0.0034782608695652175,0.0017391304347826088,0.03739130434782609,0.03391304347826087,0.8226086956521739,0.0,0.09652173913043478,0.0,0.004347826086956522,0.0
Sandal,0.0009891196834817012,0.0,0.0,0.0,0.0,0.9812067260138477,0.0,0.012858555885262116,0.0009891196834817012,0.003956478733926805
Shirt,0.060794044665012405,0.0012406947890818859,0.043424317617866005,0.01240694789081886,0.022332506203473945,0.0,0.858560794044665,0.0,0.0,0.0012406947890818859
Sneaker,0.0,0.0,0.0,0.0,0.0,0.00398406374501992,0.0,0.9671314741035857,0.0,0.02888446215139442
Bag,0.00597609561752988,0.00298804780876494,0.0,0.00199203187250996,0.0,0.0,0.00597609561752988,0.0,0.9830677290836654,0.0
Ankle boot,0.0010141987829614604,0.0,0.0,0.0,0.0,0.0030425963488843813,0.0,0.016227180527383367,0.0,0.9797160243407708
