epoch,train_acc,val_acc,test_acc
1,76.57,88.22,87.56
2,88.58,89.34,89.54
3,90.26,90.62,90.39
4,91.42,91.05,91.06
5,92.18,91.42,91.40
6,92.80,91.92,91.55
7,93.38,92.14,92.17
8,94.17,92.30,92.08
9,94.59,92.58,92.27
10,95.12,92.53,92.41
11,95.41,92.18,91.72
12,95.93,92.28,92.36
13,96.15,92.52,92.11
14,96.61,91.78,91.68
15,96.80,92.46,91.90
16,97.01,91.85,91.77
17,97.22,92.32,91.84
18,97.33,92.60,92.53
19,97.66,92.75,92.26
20,97.65,92.21,92.27
21,97.80,92.77,92.36
22,98.01,92.17,91.57
23,97.92,92.43,92.36
24,98.02,92.67,92.24
25,98.20,92.67,92.47
