epoch,train_acc,val_acc,test_acc
1,81.54,85.46,85.09
2,87.42,87.98,87.33
3,88.98,87.52,86.43
4,89.89,87.92,87.56
5,90.44,89.13,88.48
6,90.98,89.23,88.72
7,91.70,89.72,89.37
8,92.08,90.18,89.70
9,92.36,90.35,90.05
10,92.88,90.46,90.09
11,93.30,90.44,90.11
12,93.61,90.28,89.93
13,94.09,90.37,90.38
14,94.31,90.27,89.96
15,94.57,90.50,89.96
16,94.88,90.03,89.81
17,95.05,90.38,90.20
18,95.61,89.97,90.05
19,95.65,89.72,89.88
20,95.85,90.32,90.01
21,96.26,90.18,89.78
22,96.35,89.80,89.83
23,96.53,89.98,90.06
24,96.75,90.03,89.67
25,96.95,89.99,89.84
